county,log_pop,log_ret,urban_pct,midwest,log_benton_dist,south,kmart,walmart,small_stores,num_kmart,num_walmart,opt_1,opt_2,opt_3
1128.0,3.0956229,8.463847,0.3016508,0.0,5.7866305,1.0,0.0,1.0,5.0,0.027227201,0.027227201,1.0,0.020276364,0.15669725
1129.0,2.9238065,7.40881,0.0,0.0,5.8358932,1.0,0.0,0.0,2.0,0.036440072,0.036440072,0.0,0.0,0.17291782
1131.0,3.4386858,8.065755,0.5095138,0.0,6.1148846,1.0,0.0,1.0,5.0,0.08781569,0.13550808,1.0,0.037546357,0.21591952
1132.0,2.748232,7.778174,0.31675,0.0,5.6904233,1.0,0.0,1.0,2.0,0.037834628,0.037834628,1.0,0.0,0.17608212
1134.0,3.454675,8.430441,0.5135677,0.0,6.0591494,1.0,0.0,1.0,6.0,0.052910414,0.052910414,1.0,0.0,0.15073993
1137.0,2.6208934,8.039345,0.2702703,0.0,5.8411302,1.0,0.0,1.0,3.0,0.025013717,0.025013717,1.0,0.020220214,0.14592889
1138.0,3.7279319,8.499756,0.6343833,0.0,5.6124655,1.0,0.0,1.0,5.0,0.032413881,0.032413881,1.0,0.025393289,0.20304548
1140.0,2.5673311,8.295268,0.7723631,0.0,5.7804892,1.0,0.0,0.0,4.0,0.021140479,0.021140479,0.0,0.043733764,0.1642115
1141.0,3.4563167,8.354685,0.5182618,0.0,5.6377474,1.0,0.0,1.0,6.0,0.031889476,0.031889476,1.0,0.0,0.17479715
1142.0,3.6143714,8.259925,0.4866939,0.0,5.7865176,1.0,0.0,1.0,3.0,0.02028187,0.02028187,1.0,0.0,0.11195809
1145.0,3.2546676,7.631901,0.6812423,0.0,6.318417,1.0,0.0,0.0,3.0,0.050842604,0.050842604,0.0,0.0,0.0
1146.0,3.1604837,8.343052,0.4025832,0.0,6.0365101,1.0,0.0,1.0,3.0,0.053548967,0.093296356,1.0,0.0,0.14523334
1148.0,2.2659211,8.149718,0.277593,0.0,5.6982033,1.0,0.0,0.0,4.0,0.044456916,0.044456916,0.0,0.0,0.17047596
1149.0,3.0413269,8.629922,0.3596111,0.0,5.7243943,1.0,0.0,1.0,6.0,0.043054444,0.043054444,1.0,0.0,0.16112039
